,Mediciónes,Tiempo,Tiempo de integración [ms],Polarizacion grande,Polarizacion chica,Resistencia,Voltaje disco
0,0.0008,-5e-05,25,60,0,50,2.9
1,0.0,-4.996e-05,25,60,0,50,2.9
2,0.001,-4.992e-05,25,60,0,50,2.9
3,0.001,-4.9880000000000004e-05,25,60,0,50,2.9
4,-0.0004,-4.9840000000000004e-05,25,60,0,50,2.9
5,0.0008,-4.9800000000000004e-05,25,60,0,50,2.9
6,0.0002,-4.9760000000000005e-05,25,60,0,50,2.9
7,-0.0002,-4.9720000000000005e-05,25,60,0,50,2.9
8,0.0002,-4.9680000000000005e-05,25,60,0,50,2.9
9,-0.0006000000000000001,-4.964e-05,25,60,0,50,2.9
10,0.0004,-4.96e-05,25,60,0,50,2.9
11,0.0002,-4.956e-05,25,60,0,50,2.9
12,-0.0008,-4.952e-05,25,60,0,50,2.9
13,-0.0008,-4.948e-05,25,60,0,50,2.9
14,0.0012000000000000001,-4.944e-05,25,60,0,50,2.9
15,0.0002,-4.94e-05,25,60,0,50,2.9
16,-0.0006000000000000001,-4.936e-05,25,60,0,50,2.9
17,0.0012000000000000001,-4.932e-05,25,60,0,50,2.9
18,0.0002,-4.928e-05,25,60,0,50,2.9
19,0.0006000000000000001,-4.924e-05,25,60,0,50,2.9
20,-0.001,-4.92e-05,25,60,0,50,2.9
21,0.0006000000000000001,-4.9160000000000004e-05,25,60,0,50,2.9
22,0.0002,-4.9120000000000004e-05,25,60,0,50,2.9
23,-0.0004,-4.9080000000000004e-05,25,60,0,50,2.9
24,-0.0008,-4.9040000000000005e-05,25,60,0,50,2.9
25,-0.0004,-4.9000000000000005e-05,25,60,0,50,2.9
26,0.0008,-4.8960000000000006e-05,25,60,0,50,2.9
27,0.0012000000000000001,-4.892e-05,25,60,0,50,2.9
28,0.0,-4.888e-05,25,60,0,50,2.9
29,0.0,-4.884e-05,25,60,0,50,2.9
30,-0.001,-4.88e-05,25,60,0,50,2.9
31,0.0004,-4.876e-05,25,60,0,50,2.9
32,0.0,-4.872e-05,25,60,0,50,2.9
33,-0.0002,-4.868e-05,25,60,0,50,2.9
34,0.0002,-4.864e-05,25,60,0,50,2.9
35,0.0006000000000000001,-4.86e-05,25,60,0,50,2.9
36,0.0002,-4.856e-05,25,60,0,50,2.9
