,Datos,Tiempo,Tiempo de integración [ms]
0,-0.025,-0.036000000000000004,5
1,-0.024980000000000002,-0.031200000000000002,5
2,-0.024960000000000003,-0.024,5
3,-0.02494,-0.024800000000000003,5
4,-0.02492,-0.0216,5
5,-0.024900000000000002,-0.024800000000000003,5
6,-0.024880000000000003,-0.020800000000000003,5
7,-0.02486,-0.019200000000000002,5
8,-0.02484,-0.014400000000000001,5
9,-0.024820000000000002,-0.016,5
10,-0.024800000000000003,-0.0152,5
11,-0.02478,-0.0152,5
12,-0.02476,-0.010400000000000001,5
13,-0.02474,-0.009600000000000001,5
14,-0.024720000000000002,-0.0176,5
15,-0.0247,-0.0184,5
16,-0.02468,-0.016,5
17,-0.02466,-0.012,5
18,-0.024640000000000002,-0.016,5
19,-0.024620000000000003,-0.0176,5
20,-0.0246,-0.014400000000000001,5
21,-0.02458,-0.0112,5
22,-0.024560000000000002,-0.0128,5
23,-0.024540000000000003,-0.0152,5
24,-0.02452,-0.0112,5
25,-0.0245,-0.013600000000000001,5
26,-0.024480000000000002,-0.010400000000000001,5
27,-0.024460000000000003,-0.0088,5
28,-0.02444,-0.007200000000000001,5
29,-0.02442,-0.010400000000000001,5
30,-0.0244,-0.010400000000000001,5
31,-0.024380000000000002,-0.0088,5
32,-0.02436,-0.0064,5
33,-0.02434,-0.0088,5
34,-0.02432,-0.016,5
35,-0.024300000000000002,-0.013600000000000001,5
36,-0.024280000000000003,-0.012,5
37,-0.02426,-0.0128,5
38,-0.02424,-0.010400000000000001,5
39,-0.024220000000000002,-0.0152,5
40,-0.024200000000000003,-0.016800000000000002,5
41,-0.02418,-0.009600000000000001,5
42,-0.02416,-0.0088,5
43,-0.02414,-0.010400000000000001,5
44,-0.024120000000000003,-0.010400000000000001,5
45,-0.0241,-0.0112,5
46,-0.02408,-0.012,5
47,-0.02406,-0.008,5
48,-0.024040000000000002,-0.010400000000000001,5
49,-0.02402,-0.0152,5
50,-0.024,-0.0424,5
51,-0.02398,-0.0344,5
52,-0.023960000000000002,-0.0424,5
53,-0.023940000000000003,-0.033600000000000005,5
54,-0.02392,-0.033600000000000005,5
55,-0.0239,-0.0344,5
56,-0.023880000000000002,-0.0392,5
57,-0.023860000000000003,-0.0392,5
58,-0.02384,-0.0328,5
59,-0.02382,-0.0304,5
60,-0.0238,-0.0296,5
61,-0.023780000000000003,-0.0256,5
62,-0.02376,-0.024800000000000003,5
63,-0.02374,-0.028,5
64,-0.02372,-0.024800000000000003,5
65,-0.023700000000000002,-0.0256,5
66,-0.02368,-0.024800000000000003,5
67,-0.02366,-0.020800000000000003,5
68,-0.02364,-0.016800000000000002,5
69,-0.023620000000000002,-0.023200000000000002,5
70,-0.023600000000000003,-0.0216,5
71,-0.02358,-0.027200000000000002,5
72,-0.02356,-0.0256,5
73,-0.023540000000000002,-0.0264,5
74,-0.023520000000000003,-0.024,5
75,-0.0235,-0.023200000000000002,5
76,-0.02348,-0.0296,5
77,-0.02346,-0.028800000000000003,5
78,-0.023440000000000003,-0.0352,5
79,-0.02342,-0.0296,5
80,-0.0234,-0.0304,5
81,-0.02338,-0.024,5
82,-0.023360000000000002,-0.02,5
83,-0.02334,-0.0176,5
84,-0.02332,-0.019200000000000002,5
85,-0.0233,-0.0216,5
86,-0.023280000000000002,-0.016,5
87,-0.023260000000000003,-0.016800000000000002,5
88,-0.02324,-0.0152,5
89,-0.02322,-0.010400000000000001,5
90,-0.023200000000000002,-0.012,5
91,-0.023180000000000003,-0.019200000000000002,5
92,-0.02316,-0.028800000000000003,5
93,-0.02314,-0.023200000000000002,5
94,-0.02312,-0.0224,5
95,-0.023100000000000002,-0.02,5
96,-0.02308,-0.0264,5
97,-0.02306,-0.024800000000000003,5
98,-0.02304,-0.0224,5
