,Datos,Tiempo,Tiempo de integración [ms]
1789,0.02156000000000001,-0.038400000000000004,10
1790,0.021600000000000008,-0.032,10
1791,0.021640000000000006,-0.028,10
1792,0.021680000000000005,-0.0256,10
1793,0.021720000000000003,-0.0184,10
1794,0.02176,-0.0216,10
1795,0.0218,-0.016,10
1796,0.02184,-0.0112,10
1797,0.021879999999999997,-0.0112,10
1798,0.02192000000000001,-0.010400000000000001,10
1799,0.021960000000000007,-0.013600000000000001,10
1800,0.022000000000000006,-0.0112,10
1801,0.022040000000000004,-0.028,10
1802,0.022080000000000002,-0.0264,10
1803,0.02212,-0.020800000000000003,10
1804,0.02216,-0.0176,10
1805,0.022199999999999998,-0.016800000000000002,10
1806,0.02224000000000001,-0.0216,10
1807,0.022280000000000008,-0.0328,10
1808,0.022320000000000007,-0.028,10
1809,0.022360000000000005,-0.0328,10
1810,0.022400000000000003,-0.024,10
1811,0.02244,-0.032,10
1812,0.02248,-0.033600000000000005,10
1813,0.02252,-0.027200000000000002,10
1814,0.022559999999999997,-0.028800000000000003,10
1815,0.02260000000000001,-0.0304,10
1816,0.022640000000000007,-0.033600000000000005,10
1817,0.022680000000000006,-0.031200000000000002,10
1818,0.022720000000000004,-0.032,10
1819,0.022760000000000002,-0.0392,10
1820,0.0228,-0.0392,10
1821,0.02284,-0.038400000000000004,10
1822,0.022879999999999998,-0.0392,10
1823,0.02292000000000001,-0.0408,10
1824,0.022960000000000008,-0.031200000000000002,10
1825,0.023000000000000007,-0.0264,10
1826,0.023040000000000005,-0.024,10
1827,0.023080000000000003,-0.032,10
1828,0.02312,-0.0256,10
1829,0.02316,-0.04,10
1830,0.0232,-0.033600000000000005,10
1831,0.023239999999999997,-0.028800000000000003,10
1832,0.02328000000000001,-0.0256,10
1833,0.023320000000000007,-0.023200000000000002,10
1834,0.023360000000000006,-0.0264,10
1835,0.023400000000000004,-0.0264,10
1836,0.023440000000000003,-0.031200000000000002,10
1837,0.02348,-0.0328,10
1838,0.02352,-0.028,10
1839,0.023559999999999998,-0.02,10
