,Datos,Tiempo
174,-0.0043040000000000005,-0.02
175,-0.0043,-0.014400000000000001
176,-0.004296,-0.016800000000000002
177,-0.004292,-0.014400000000000001
178,-0.004288,-0.013600000000000001
179,-0.0042840000000000005,-0.0128
180,-0.00428,-0.0088
181,-0.004276,-0.0112
182,-0.004272,-0.010400000000000001
183,-0.004268,-0.010400000000000001
184,-0.004264,-0.0112
185,-0.00426,-0.013600000000000001
186,-0.004256,-0.013600000000000001
187,-0.004252000000000001,-0.0176
188,-0.004248,-0.013600000000000001
189,-0.004244,-0.013600000000000001
190,-0.00424,-0.010400000000000001
191,-0.004236,-0.012
192,-0.004232,-0.009600000000000001
193,-0.004228,-0.0128
194,-0.004224,-0.0152
195,-0.00422,-0.013600000000000001
196,-0.004216,-0.013600000000000001
197,-0.0042120000000000005,-0.0128
198,-0.004208,-0.0152
199,-0.004204,-0.019200000000000002
200,-0.004200000000000001,-0.013600000000000001
201,-0.004196,-0.013600000000000001
202,-0.004192,-0.012
203,-0.004188,-0.0112
204,-0.004184,-0.013600000000000001
205,-0.00418,-0.0128
206,-0.004176,-0.016
207,-0.004172,-0.0088
208,-0.004168,-0.016
209,-0.004164,-0.02
210,-0.0041600000000000005,-0.016800000000000002
211,-0.004156,-0.016
212,-0.004152,-0.019200000000000002
213,-0.004148,-0.016
214,-0.004144,-0.0128
215,-0.0041400000000000005,-0.014400000000000001
216,-0.004136,-0.013600000000000001
217,-0.004132,-0.0176
218,-0.004128,-0.016800000000000002
219,-0.004124,-0.0128
220,-0.00412,-0.013600000000000001
221,-0.004116,-0.013600000000000001
222,-0.004112,-0.0112
223,-0.0041080000000000005,-0.014400000000000001
224,-0.004104,-0.0088
225,-0.0041,-0.0128
226,-0.004096,-0.013600000000000001
227,-0.004092,-0.014400000000000001
228,-0.0040880000000000005,-0.0112
229,-0.004084,-0.009600000000000001
230,-0.00408,-0.008
231,-0.004076,-0.0088
232,-0.004072,-0.010400000000000001
233,-0.0040680000000000004,-0.0112
234,-0.004064,-0.0088
235,-0.00406,-0.010400000000000001
236,-0.004056000000000001,-0.0112
237,-0.004052,-0.0088
238,-0.004048,-0.0112
239,-0.004044,-0.0056
240,-0.00404,-0.0056
241,-0.0040360000000000005,-0.007200000000000001
242,-0.004032,-0.004
243,-0.004028,-0.004
244,-0.004024,-0.008
245,-0.00402,-0.007200000000000001
246,-0.0040160000000000005,-0.007200000000000001
247,-0.004012,-0.0088
248,-0.004008,-0.0064
249,-0.004004000000000001,-0.012
250,-0.004,-0.0064
251,-0.003996,-0.0024000000000000002
252,-0.003992,-0.0056
253,-0.003988,-0.007200000000000001
254,-0.003984,-0.0088
255,-0.00398,-0.007200000000000001
256,-0.003976,-0.0088
257,-0.003972,-0.009600000000000001
258,-0.003968,-0.012
259,-0.0039640000000000005,-0.007200000000000001
260,-0.00396,-0.0056
261,-0.003956,-0.007200000000000001
262,-0.003952000000000001,-0.004
263,-0.003948,-0.007200000000000001
264,-0.0039440000000000005,-0.008
265,-0.00394,-0.008
266,-0.003936,-0.008
267,-0.003932,-0.007200000000000001
268,-0.003928,-0.007200000000000001
269,-0.003924,-0.008
270,-0.00392,-0.008
271,-0.003916,-0.007200000000000001
272,-0.0039120000000000005,-0.0064
273,-0.003908,-0.007200000000000001
274,-0.0039040000000000004,-0.0064
