,Datos,Tiempo,Tiempo de integración [ms],Polarizacion grande,Polarizacion chica
0,-0.005,-0.716,1.0,-40.0,0.0
1,-0.0049960000000000004,-0.708,,,
2,-0.004992,-0.708,,,
3,-0.004988,-0.7000000000000001,,,
4,-0.004984,-0.704,,,
5,-0.00498,-0.708,,,
6,-0.004976,-0.704,,,
7,-0.004972,-0.7000000000000001,,,
8,-0.004968,-0.708,,,
9,-0.0049640000000000005,-0.6960000000000001,,,
10,-0.00496,-0.6920000000000001,,,
11,-0.004956,-0.68,,,
12,-0.004952,-0.684,,,
13,-0.004948,-0.72,,,
14,-0.0049440000000000005,-0.716,,,
15,-0.00494,-0.704,,,
16,-0.004936,-0.7000000000000001,,,
17,-0.004932,-0.6880000000000001,,,
18,-0.004928,-0.676,,,
19,-0.004924,-0.68,,,
20,-0.00492,-0.72,,,
21,-0.004916,-0.732,,,
22,-0.004912,-0.732,,,
23,-0.004908,-0.72,,,
24,-0.004904,-0.708,,,
25,-0.0049,-0.708,,,
26,-0.004896,-0.708,,,
27,-0.0048920000000000005,-0.708,,,
28,-0.004888,-0.732,,,
29,-0.004884,-0.728,,,
30,-0.00488,-0.732,,,
31,-0.004876,-0.728,,,
32,-0.0048720000000000005,-0.72,,,
33,-0.004868,-0.716,,,
34,-0.004864,-0.732,,,
35,-0.00486,-0.732,,,
36,-0.004856,-0.716,,,
37,-0.004852,-0.716,,,
38,-0.004848,-0.724,,,
39,-0.004844,-0.72,,,
40,-0.0048400000000000006,-0.724,,,
41,-0.004836,-0.748,,,
42,-0.004832,-0.752,,,
43,-0.004828,-0.748,,,
44,-0.004824,-0.748,,,
45,-0.0048200000000000005,-0.784,,,
46,-0.004816,-0.784,,,
47,-0.004812,-0.792,,,
48,-0.004808,-0.792,,,
49,-0.004804,-0.8240000000000001,,,
50,-0.0048000000000000004,-0.812,,,
51,-0.004796,-0.8160000000000001,,,
52,-0.004792,-0.804,,,
53,-0.004788,-0.792,,,
54,-0.004784,-0.808,,,
55,-0.00478,-0.8,,,
56,-0.004776,-0.796,,,
57,-0.004772,-0.792,,,
58,-0.004768,-0.784,,,
59,-0.004764,-0.776,,,
60,-0.00476,-0.788,,,
61,-0.004756,-0.792,,,
62,-0.004752,-0.796,,,
63,-0.0047480000000000005,-0.788,,,
64,-0.004744,-0.78,,,
65,-0.00474,-0.764,,,
66,-0.004736,-0.768,,,
67,-0.004732,-0.764,,,
68,-0.004728,-0.788,,,
69,-0.004724,-0.78,,,
70,-0.00472,-0.784,,,
71,-0.004716,-0.812,,,
72,-0.004712,-0.812,,,
73,-0.004708,-0.8,,,
74,-0.004704,-0.796,,,
75,-0.0047,-0.8,,,
76,-0.0046960000000000005,-0.8,,,
77,-0.004692,-0.804,,,
78,-0.004688,-0.8,,,
79,-0.004684,-0.792,,,
80,-0.00468,-0.788,,,
81,-0.0046760000000000005,-0.808,,,
82,-0.004672,-0.796,,,
83,-0.004668,-0.792,,,
84,-0.004664,-0.792,,,
85,-0.00466,-0.776,,,
86,-0.004656,-0.78,,,
87,-0.004652,-0.764,,,
88,-0.004648,-0.756,,,
89,-0.0046440000000000006,-0.74,,,
90,-0.00464,-0.74,,,
91,-0.004636,-0.748,,,
92,-0.004632,-0.74,,,
93,-0.004628,-0.736,,,
94,-0.0046240000000000005,-0.744,,,
95,-0.00462,-0.748,,,
96,-0.004616,-0.728,,,
97,-0.004612,-0.72,,,
98,-0.004608,-0.7000000000000001,,,
99,-0.0046040000000000005,-0.6960000000000001,,,
100,-0.0046,-0.6920000000000001,,,
101,-0.004596,-0.6920000000000001,,,
102,-0.004592,-0.708,,,
103,-0.004588,-0.712,,,
104,-0.004584,-0.708,,,
105,-0.00458,-0.72,,,
106,-0.004576,-0.712,,,
107,-0.004572,-0.716,,,
108,-0.004568,-0.728,,,
109,-0.004564,-0.74,,,
110,-0.00456,-0.752,,,
111,-0.004556,-0.756,,,
112,-0.0045520000000000005,-0.76,,,
113,-0.004548,-0.76,,,
114,-0.004544,-0.756,,,
115,-0.00454,-0.784,,,
116,-0.004536,-0.788,,,
117,-0.0045320000000000004,-0.796,,,
118,-0.004528,-0.796,,,
119,-0.004524,-0.784,,,
120,-0.00452,-0.784,,,
121,-0.004516,-0.772,,,
122,-0.004512,-0.78,,,
123,-0.004508,-0.788,,,
124,-0.004504,-0.776,,,
125,-0.0045000000000000005,-0.756,,,
126,-0.004496,-0.808,,,
127,-0.004492,-0.796,,,
128,-0.004488,-0.812,,,
129,-0.004484,-0.808,,,
130,-0.0044800000000000005,-0.808,,,
131,-0.004476,-0.812,,,
132,-0.004472,-0.808,,,
133,-0.004468,-0.808,,,
134,-0.004464,-0.792,,,
135,-0.00446,-0.788,,,
136,-0.004456,-0.772,,,
137,-0.004452,-0.776,,,
138,-0.0044480000000000006,-0.764,,,
139,-0.004444,-0.76,,,
140,-0.00444,-0.748,,,
141,-0.004436,-0.736,,,
142,-0.004432,-0.732,,,
143,-0.004428,-0.732,,,
144,-0.004424,-0.716,,,
145,-0.00442,-0.728,,,
146,-0.004416,-0.72,,,
147,-0.004412,-0.724,,,
148,-0.0044080000000000005,-0.724,,,
149,-0.004404,-0.712,,,
150,-0.0044,-0.728,,,
151,-0.004396000000000001,-0.744,,,
152,-0.004392,-0.776,,,
153,-0.004388,-0.764,,,
154,-0.004384,-0.768,,,
155,-0.00438,-0.748,,,
156,-0.004376,-0.756,,,
157,-0.004372,-0.764,,,
158,-0.004368,-0.748,,,
159,-0.004364,-0.744,,,
160,-0.00436,-0.736,,,
161,-0.0043560000000000005,-0.728,,,
162,-0.004352,-0.72,,,
163,-0.004348,-0.732,,,
164,-0.004344,-0.74,,,
165,-0.00434,-0.72,,,
166,-0.0043360000000000004,-0.72,,,
167,-0.004332,-0.732,,,
168,-0.004328,-0.736,,,
169,-0.004324,-0.728,,,
170,-0.00432,-0.712,,,
171,-0.004316,-0.708,,,
172,-0.004312,-0.704,,,
173,-0.004308,-0.6960000000000001,,,
174,-0.0043040000000000005,-0.708,,,
175,-0.0043,-0.736,,,
176,-0.004296,-0.724,,,
177,-0.004292,-0.728,,,
178,-0.004288,-0.724,,,
179,-0.0042840000000000005,-0.728,,,
180,-0.00428,-0.716,,,
181,-0.004276,-0.704,,,
182,-0.004272,-0.6960000000000001,,,
183,-0.004268,-0.708,,,
184,-0.004264,-0.716,,,
185,-0.00426,-0.708,,,
186,-0.004256,-0.6960000000000001,,,
187,-0.004252000000000001,-0.68,,,
188,-0.004248,-0.6920000000000001,,,
189,-0.004244,-0.684,,,
190,-0.00424,-0.684,,,
191,-0.004236,-0.6880000000000001,,,
192,-0.004232,-0.704,,,
193,-0.004228,-0.716,,,
194,-0.004224,-0.712,,,
195,-0.00422,-0.716,,,
196,-0.004216,-0.712,,,
197,-0.0042120000000000005,-0.708,,,
198,-0.004208,-0.712,,,
199,-0.004204,-0.708,,,
200,-0.004200000000000001,-0.712,,,
201,-0.004196,-0.716,,,
202,-0.004192,-0.712,,,
203,-0.004188,-0.732,,,
204,-0.004184,-0.744,,,
