,Datos,Tiempo,Tiempo de integración [ms],Polarizacion grande,Polarizacion chica
0,-0.05,-0.48,10.0,0.0,0.0
1,-0.049960000000000004,-0.468,,,
2,-0.049920000000000006,-0.432,,,
3,-0.04988,-0.424,,,
4,-0.04984,-0.432,,,
5,-0.049800000000000004,-0.464,,,
6,-0.049760000000000006,-0.452,,,
7,-0.04972,-0.47600000000000003,,,
8,-0.04968,-0.492,,,
9,-0.049640000000000004,-0.52,,,
10,-0.049600000000000005,-0.532,,,
11,-0.04956,-0.532,,,
12,-0.04952,-0.5680000000000001,,,
13,-0.04948,-0.58,,,
14,-0.049440000000000005,-0.524,,,
15,-0.0494,-0.528,,,
16,-0.04936,-0.5,,,
17,-0.04932,-0.488,,,
18,-0.049280000000000004,-0.524,,,
19,-0.049240000000000006,-0.512,,,
20,-0.0492,-0.508,,,
21,-0.04916,-0.496,,,
22,-0.049120000000000004,-0.528,,,
23,-0.049080000000000006,-0.56,,,
24,-0.04904,-0.5640000000000001,,,
25,-0.049,-0.532,,,
26,-0.048960000000000004,-0.532,,,
27,-0.048920000000000005,-0.552,,,
28,-0.04888,-0.492,,,
29,-0.04884,-0.464,,,
30,-0.0488,-0.452,,,
31,-0.048760000000000005,-0.424,,,
32,-0.04872,-0.436,,,
33,-0.04868,-0.468,,,
34,-0.04864,-0.47600000000000003,,,
35,-0.048600000000000004,-0.464,,,
36,-0.048560000000000006,-0.524,,,
37,-0.04852,-0.52,,,
38,-0.04848,-0.528,,,
39,-0.048440000000000004,-0.512,,,
40,-0.048400000000000006,-0.488,,,
41,-0.04836,-0.496,,,
42,-0.04832,-0.48,,,
43,-0.04828,-0.448,,,
44,-0.048240000000000005,-0.436,,,
45,-0.0482,-0.464,,,
46,-0.04816,-0.444,,,
47,-0.04812,-0.468,,,
48,-0.048080000000000005,-0.524,,,
49,-0.04804,-0.492,,,
50,-0.048,-0.52,,,
51,-0.04796,-0.584,,,
52,-0.047920000000000004,-0.58,,,
53,-0.047880000000000006,-0.548,,,
54,-0.04784,-0.544,,,
55,-0.0478,-0.556,,,
56,-0.047760000000000004,-0.536,,,
57,-0.047720000000000005,-0.508,,,
58,-0.04768,-0.548,,,
59,-0.04764,-0.5680000000000001,,,
60,-0.0476,-0.552,,,
61,-0.047560000000000005,-0.552,,,
62,-0.04752,-0.5720000000000001,,,
63,-0.04748,-0.528,,,
64,-0.04744,-0.524,,,
65,-0.047400000000000005,-0.488,,,
66,-0.04736,-0.468,,,
67,-0.04732,-0.456,,,
68,-0.04728,-0.448,,,
69,-0.047240000000000004,-0.448,,,
70,-0.047200000000000006,-0.452,,,
71,-0.04716,-0.48,,,
72,-0.04712,-0.484,,,
73,-0.047080000000000004,-0.516,,,
74,-0.047040000000000005,-0.456,,,
75,-0.047,-0.496,,,
76,-0.04696,-0.516,,,
77,-0.04692,-0.48,,,
78,-0.046880000000000005,-0.468,,,
79,-0.04684,-0.484,,,
80,-0.0468,-0.46,,,
81,-0.04676,-0.48,,,
82,-0.046720000000000005,-0.46,,,
83,-0.04668,-0.504,,,
84,-0.04664,-0.47200000000000003,,,
85,-0.0466,-0.47200000000000003,,,
86,-0.046560000000000004,-0.532,,,
87,-0.046520000000000006,-0.52,,,
88,-0.04648,-0.556,,,
89,-0.04644,-0.524,,,
90,-0.046400000000000004,-0.556,,,
91,-0.046360000000000005,-0.596,,,
92,-0.04632,-0.588,,,
93,-0.04628,-0.608,,,
94,-0.04624,-0.592,,,
95,-0.046200000000000005,-0.5640000000000001,,,
96,-0.04616,-0.532,,,
97,-0.04612,-0.484,,,
98,-0.04608,-0.512,,,
99,-0.046040000000000005,-0.552,,,
100,-0.046,-0.548,,,
101,-0.04596,-0.548,,,
102,-0.04592,-0.56,,,
103,-0.045880000000000004,-0.5680000000000001,,,
104,-0.045840000000000006,-0.588,,,
105,-0.0458,-0.588,,,
106,-0.04576,-0.604,,,
107,-0.045720000000000004,-0.6,,,
108,-0.045680000000000005,-0.5720000000000001,,,
109,-0.04564,-0.524,,,
110,-0.0456,-0.516,,,
111,-0.04556,-0.484,,,
112,-0.045520000000000005,-0.48,,,
113,-0.04548,-0.512,,,
114,-0.04544,-0.504,,,
115,-0.0454,-0.47200000000000003,,,
116,-0.045360000000000004,-0.504,,,
117,-0.04532,-0.524,,,
118,-0.04528,-0.5,,,
119,-0.04524,-0.464,,,
120,-0.045200000000000004,-0.48,,,
121,-0.045160000000000006,-0.5,,,
122,-0.04512,-0.47600000000000003,,,
123,-0.04508,-0.496,,,
124,-0.045040000000000004,-0.504,,,
125,-0.045000000000000005,-0.56,,,
126,-0.04496,-0.5640000000000001,,,
127,-0.04492,-0.56,,,
128,-0.04488,-0.628,,,
129,-0.044840000000000005,-0.676,,,
130,-0.0448,-0.66,,,
131,-0.04476,-0.684,,,
132,-0.04472,-0.68,,,
133,-0.044680000000000004,-0.648,,,
134,-0.04464,-0.644,,,
135,-0.0446,-0.5720000000000001,,,
136,-0.04456,-0.58,,,
137,-0.044520000000000004,-0.608,,,
138,-0.044480000000000006,-0.64,,,
139,-0.04444,-0.608,,,
140,-0.0444,-0.612,,,
141,-0.044360000000000004,-0.624,,,
142,-0.044320000000000005,-0.636,,,
143,-0.04428,-0.596,,,
144,-0.04424,-0.56,,,
145,-0.0442,-0.556,,,
146,-0.044160000000000005,-0.548,,,
147,-0.04412,-0.54,,,
148,-0.04408,-0.516,,,
149,-0.04404,-0.532,,,
150,-0.044000000000000004,-0.56,,,
151,-0.04396,-0.552,,,
152,-0.04392,-0.528,,,
153,-0.04388,-0.52,,,
154,-0.043840000000000004,-0.516,,,
155,-0.043800000000000006,-0.516,,,
156,-0.04376,-0.54,,,
157,-0.04372,-0.56,,,
158,-0.043680000000000004,-0.524,,,
159,-0.043640000000000005,-0.516,,,
160,-0.0436,-0.5680000000000001,,,
161,-0.04356,-0.548,,,
162,-0.04352,-0.544,,,
163,-0.043480000000000005,-0.512,,,
164,-0.04344,-0.5,,,
165,-0.0434,-0.48,,,
166,-0.04336,-0.48,,,
167,-0.043320000000000004,-0.488,,,
168,-0.04328,-0.47200000000000003,,,
169,-0.04324,-0.468,,,
170,-0.0432,-0.47200000000000003,,,
171,-0.043160000000000004,-0.47600000000000003,,,
172,-0.043120000000000006,-0.48,,,
173,-0.04308,-0.46,,,
174,-0.04304,-0.46,,,
175,-0.043000000000000003,-0.47600000000000003,,,
