,Datos,Tiempo
170,-0.00108,-0.007200000000000001
171,-0.001079,-0.008
172,-0.001078,-0.0048000000000000004
173,-0.001077,-0.0088
174,-0.0010760000000000001,-0.008
175,-0.001075,-0.0056
176,-0.001074,-0.0088
177,-0.001073,-0.0056
178,-0.001072,-0.009600000000000001
179,-0.0010710000000000001,-0.007200000000000001
180,-0.00107,-0.0064
181,-0.001069,-0.0056
182,-0.001068,-0.0128
183,-0.001067,-0.0152
184,-0.001066,-0.013600000000000001
185,-0.001065,-0.010400000000000001
186,-0.001064,-0.0128
187,-0.0010630000000000001,-0.014400000000000001
188,-0.001062,-0.010400000000000001
189,-0.001061,-0.0152
190,-0.00106,-0.009600000000000001
191,-0.001059,-0.010400000000000001
192,-0.001058,-0.010400000000000001
193,-0.001057,-0.013600000000000001
194,-0.001056,-0.0152
195,-0.001055,-0.013600000000000001
196,-0.001054,-0.008
197,-0.0010530000000000001,-0.0128
198,-0.001052,-0.013600000000000001
199,-0.001051,-0.012
200,-0.0010500000000000002,-0.010400000000000001
201,-0.001049,-0.0088
202,-0.001048,-0.010400000000000001
203,-0.001047,-0.014400000000000001
204,-0.001046,-0.009600000000000001
205,-0.001045,-0.0128
206,-0.001044,-0.0064
207,-0.001043,-0.010400000000000001
208,-0.001042,-0.012
209,-0.001041,-0.009600000000000001
210,-0.0010400000000000001,-0.013600000000000001
211,-0.001039,-0.007200000000000001
212,-0.001038,-0.008
213,-0.001037,-0.010400000000000001
214,-0.001036,-0.0128
215,-0.0010350000000000001,-0.010400000000000001
216,-0.001034,-0.0088
217,-0.001033,-0.007200000000000001
218,-0.001032,-0.009600000000000001
219,-0.001031,-0.0128
220,-0.00103,-0.0112
221,-0.001029,-0.013600000000000001
222,-0.001028,-0.009600000000000001
223,-0.0010270000000000001,-0.010400000000000001
224,-0.001026,-0.024800000000000003
225,-0.001025,-0.0256
226,-0.001024,-0.027200000000000002
227,-0.001023,-0.023200000000000002
228,-0.0010220000000000001,-0.0256
229,-0.001021,-0.024
230,-0.00102,-0.023200000000000002
231,-0.001019,-0.0256
232,-0.001018,-0.023200000000000002
233,-0.0010170000000000001,-0.024
234,-0.001016,-0.0224
235,-0.001015,-0.024800000000000003
236,-0.0010140000000000001,-0.024
