,Datos,Tiempo,Tiempo de integración [ms],Polarizacion grande,Polarizacion chica,Resistencia
145,-4.42e-08,-0.0008,,,,
146,-4.416e-08,-0.0008,,,,
147,-4.412e-08,-0.0008,,,,
148,-4.4079999999999995e-08,-0.0008,,,,
149,-4.4039999999999996e-08,-0.0008,,,,
150,-4.4e-08,-0.0008,,,,
151,-4.396e-08,-0.0008,,,,
152,-4.392e-08,-0.0008,,,,
153,-4.388e-08,-0.0008,,,,
154,-4.384e-08,-0.0008,,,,
155,-4.3799999999999995e-08,-0.0008,,,,
156,-4.3759999999999996e-08,-0.0008,,,,
157,-4.372e-08,-0.0008,,,,
158,-4.368e-08,-0.0008,,,,
159,-4.364e-08,-0.0008,,,,
160,-4.36e-08,-0.0008,,,,
161,-4.356e-08,-0.0008,,,,
162,-4.3519999999999995e-08,-0.0008,,,,
163,-4.3479999999999996e-08,-0.0008,,,,
164,-4.344e-08,-0.0008,,,,
165,-4.34e-08,-0.0008,,,,
166,-4.336e-08,-0.0008,,,,
167,-4.332e-08,-0.0008,,,,
168,-4.328e-08,-0.0008,,,,
169,-4.3239999999999995e-08,-0.0008,,,,
170,-4.3199999999999996e-08,-0.0008,,,,
171,-4.316e-08,-0.0008,,,,
172,-4.312e-08,-0.0008,,,,
173,-4.308e-08,-0.0008,,,,
174,-4.304e-08,-0.0008,,,,
175,-4.3e-08,-0.0008,,,,
176,-4.2959999999999996e-08,-0.0008,,,,
177,-4.2919999999999997e-08,-0.0008,,,,
178,-4.288e-08,-0.0008,,,,
179,-4.284e-08,-0.0008,,,,
180,-4.28e-08,-0.0008,,,,
181,-4.276e-08,-0.0008,,,,
182,-4.272e-08,-0.0008,,,,
183,-4.2679999999999996e-08,-0.0008,,,,
184,-4.2639999999999997e-08,-0.0008,,,,
185,-4.26e-08,-0.0008,,,,
186,-4.256e-08,-0.0008,,,,
187,-4.252e-08,-0.0008,,,,
188,-4.248e-08,-0.0008,,,,
189,-4.244e-08,-0.0008,,,,
190,-4.2399999999999996e-08,-0.0008,,,,
191,-4.236e-08,-0.0008,,,,
192,-4.232e-08,-0.0008,,,,
193,-4.228e-08,-0.0008,,,,
194,-4.224e-08,-0.0008,,,,
195,-4.22e-08,-0.0008,,,,
196,-4.216e-08,-0.0008,,,,
197,-4.2119999999999996e-08,-0.0008,,,,
198,-4.208e-08,-0.0008,,,,
199,-4.204e-08,-0.0008,,,,
200,-4.2e-08,-0.0008,,,,
201,-4.196e-08,-0.0008,,,,
202,-4.1919999999999994e-08,-0.0008,,,,
203,-4.188e-08,-0.0008,,,,
204,-4.1839999999999996e-08,-0.0008,,,,
205,-4.18e-08,-0.0008,,,,
206,-4.176e-08,-0.0008,,,,
207,-4.172e-08,-0.0008,,,,
208,-4.168e-08,-0.0008,,,,
209,-4.1639999999999994e-08,-0.0008,,,,
210,-4.16e-08,-0.0008,,,,
211,-4.1559999999999996e-08,-0.0008,,,,
212,-4.152e-08,-0.0008,,,,
213,-4.148e-08,-0.0008,,,,
214,-4.144e-08,-0.0008,,,,
215,-4.14e-08,-0.0008,,,,
216,-4.1359999999999994e-08,-0.0008,,,,
217,-4.132e-08,-0.0008,,,,
218,-4.1279999999999996e-08,-0.0008,,,,
219,-4.124e-08,-0.0008,,,,
220,-4.12e-08,-0.0008,,,,
221,-4.116e-08,-0.0008,,,,
222,-4.112e-08,-0.0008,,,,
223,-4.1079999999999995e-08,-0.0008,,,,
224,-4.104e-08,-0.0008,,,,
225,-4.0999999999999997e-08,-0.0008,,,,
226,-4.096e-08,-0.0008,,,,
227,-4.092e-08,-0.0016,,,,
228,-4.088e-08,-0.0016,,,,
229,-4.084e-08,-0.0016,,,,
230,-4.0799999999999995e-08,-0.0016,,,,
231,-4.076e-08,-0.0016,,,,
232,-4.072e-08,-0.0016,,,,
233,-4.068e-08,-0.0016,,,,
234,-4.064e-08,-0.0016,,,,
235,-4.06e-08,-0.0016,,,,
236,-4.056e-08,-0.0016,,,,
237,-4.0519999999999995e-08,-0.0016,,,,
238,-4.0479999999999996e-08,-0.0016,,,,
239,-4.044e-08,-0.0016,,,,
240,-4.04e-08,-0.0016,,,,
241,-4.036e-08,-0.0016,,,,
242,-4.032e-08,-0.0016,,,,
243,-4.028e-08,-0.0016,,,,
244,-4.0239999999999995e-08,-0.0016,,,,
245,-4.0199999999999996e-08,-0.0016,,,,
246,-4.016e-08,-0.0016,,,,
247,-4.012e-08,-0.0016,,,,
248,-4.008e-08,-0.0016,,,,
249,-4.004e-08,-0.0016,,,,
250,-4e-08,-0.0016,,,,
251,-3.9959999999999995e-08,-0.0016,,,,
252,-3.9919999999999996e-08,-0.0016,,,,
253,-3.988e-08,-0.0016,,,,
254,-3.984e-08,-0.0016,,,,
255,-3.98e-08,-0.0016,,,,
256,-3.976e-08,-0.0016,,,,
257,-3.972e-08,-0.0016,,,,
258,-3.9679999999999995e-08,-0.0016,,,,
259,-3.9639999999999996e-08,-0.0016,,,,
260,-3.96e-08,-0.0016,,,,
261,-3.956e-08,-0.0016,,,,
262,-3.952e-08,-0.0016,,,,
263,-3.948e-08,-0.0016,,,,
264,-3.944e-08,-0.0016,,,,
265,-3.9399999999999995e-08,-0.0016,,,,
266,-3.9359999999999996e-08,-0.0016,,,,
267,-3.932e-08,-0.0016,,,,
268,-3.928e-08,-0.0016,,,,
269,-3.924e-08,-0.0008,,,,
270,-3.92e-08,-0.0008,,,,
271,-3.916e-08,-0.0008,,,,
272,-3.9119999999999996e-08,-0.0008,,,,
273,-3.9079999999999997e-08,-0.0008,,,,
274,-3.904e-08,-0.0008,,,,
275,-3.9e-08,-0.0008,,,,
276,-3.896e-08,-0.0008,,,,
277,-3.892e-08,-0.0008,,,,
278,-3.888e-08,-0.0016,,,,
279,-3.8839999999999996e-08,-0.0016,,,,
280,-3.88e-08,-0.0016,,,,
281,-3.876e-08,-0.0016,,,,
282,-3.872e-08,-0.0016,,,,
283,-3.868e-08,-0.0016,,,,
284,-3.864e-08,-0.0016,,,,
285,-3.86e-08,-0.0016,,,,
286,-3.8559999999999996e-08,-0.0016,,,,
287,-3.852e-08,-0.0016,,,,
288,-3.848e-08,-0.0016,,,,
289,-3.844e-08,-0.0016,,,,
290,-3.84e-08,-0.0016,,,,
291,-3.836e-08,-0.0016,,,,
292,-3.832e-08,-0.0016,,,,
293,-3.8279999999999996e-08,-0.0016,,,,
294,-3.824e-08,-0.0016,,,,
295,-3.82e-08,-0.0016,,,,
296,-3.816e-08,-0.0016,,,,
297,-3.812e-08,-0.0016,,,,
298,-3.808e-08,-0.0016,,,,
299,-3.804e-08,-0.0016,,,,
300,-3.7999999999999996e-08,-0.0016,,,,
301,-3.796e-08,-0.0016,,,,
302,-3.792e-08,-0.0016,,,,
303,-3.788e-08,-0.0016,,,,
304,-3.784e-08,-0.0016,,,,
305,-3.7799999999999994e-08,-0.0016,,,,
306,-3.776e-08,-0.0016,,,,
307,-3.7719999999999996e-08,-0.0016,,,,
308,-3.768e-08,-0.0016,,,,
309,-3.764e-08,-0.0016,,,,
310,-3.76e-08,-0.0016,,,,
311,-3.756e-08,-0.0016,,,,
312,-3.7519999999999995e-08,-0.0016,,,,
313,-3.748e-08,-0.0016,,,,
314,-3.7439999999999996e-08,-0.0016,,,,
315,-3.74e-08,-0.0016,,,,
316,-3.736e-08,-0.0016,,,,
317,-3.732e-08,-0.0016,,,,
318,-3.728e-08,-0.0016,,,,
319,-3.7239999999999995e-08,-0.0016,,,,
320,-3.72e-08,-0.0008,,,,
321,-3.7159999999999997e-08,-0.0008,,,,
322,-3.712e-08,-0.0008,,,,
323,-3.708e-08,-0.0008,,,,
324,-3.704e-08,-0.0008,,,,
325,-3.7e-08,-0.0008,,,,
326,-3.6959999999999995e-08,-0.0008,,,,
327,-3.692e-08,-0.0008,,,,
328,-3.688e-08,-0.0008,,,,
329,-3.684e-08,-0.0008,,,,
330,-3.68e-08,-0.0008,,,,
331,-3.676e-08,-0.0008,,,,
332,-3.672e-08,-0.0008,,,,
333,-3.6679999999999995e-08,-0.0008,,,,
